customer_sk,customer_id,customer_name,segment
1,AA-103151,Alex Avila,Consumer
2,AA-103152,Alex Avila,Consumer
3,AA-103153,Alex Avila,Consumer
4,AA-103154,Alex Avila,Consumer
5,AA-103751,Allen Armold,Consumer
6,AA-103752,Allen Armold,Consumer
7,AA-103753,Allen Armold,Consumer
8,AA-103754,Allen Armold,Consumer
9,AA-104801,Andrew Allen,Consumer
10,AA-104802,Andrew Allen,Consumer
11,AA-104803,Andrew Allen,Consumer
12,AA-104804,Andrew Allen,Consumer
13,AA-106451,Anna Andreadi,Consumer
14,AA-106452,Anna Andreadi,Consumer
15,AA-106453,Anna Andreadi,Consumer
16,AA-106454,Anna Andreadi,Consumer
17,AA-3151,Alex Avila,Consumer
18,AA-3152,Alex Avila,Consumer
19,AA-3751,Allen Armold,Consumer
20,AA-3752,Allen Armold,Consumer
21,AA-3753,Allen Armold,Consumer
22,AA-4801,Andrew Allen,Consumer
23,AA-4802,Andrew Allen,Consumer
24,AA-4803,Andrew Allen,Consumer
25,AA-6451,Anna Andreadi,Consumer
26,AA-6452,Anna Andreadi,Consumer
27,AB-100151,Aaron Bergman,Consumer
28,AB-100152,Aaron Bergman,Consumer
29,AB-100153,Aaron Bergman,Consumer
30,AB-100154,Aaron Bergman,Consumer
31,AB-100601,Adam Bellavance,Home Office
32,AB-100602,Adam Bellavance,Home Office
33,AB-100603,Adam Bellavance,Home Office
34,AB-100604,Adam Bellavance,Home Office
35,AB-101051,Adrian Barton,Consumer
36,AB-101052,Adrian Barton,Consumer
37,AB-101053,Adrian Barton,Consumer
38,AB-101054,Adrian Barton,Consumer
39,AB-101501,Aimee Bixby,Consumer
40,AB-101502,Aimee Bixby,Consumer
41,AB-101503,Aimee Bixby,Consumer
42,AB-101504,Aimee Bixby,Consumer
43,AB-101651,Alan Barnes,Consumer
44,AB-101652,Alan Barnes,Consumer
45,AB-101653,Alan Barnes,Consumer
46,AB-101654,Alan Barnes,Consumer
47,AB-102551,Alejandro Ballentine,Home Office
48,AB-102552,Alejandro Ballentine,Home Office
49,AB-102553,Alejandro Ballentine,Home Office
50,AB-102554,Alejandro Ballentine,Home Office
51,AB-1051,Adrian Barton,Consumer
52,AB-1052,Adrian Barton,Consumer
53,AB-1053,Adrian Barton,Consumer
54,AB-106001,Ann Blume,Corporate
55,AB-106002,Ann Blume,Corporate
56,AB-106003,Ann Blume,Corporate
57,AB-106004,Ann Blume,Corporate
58,AB-1501,Aimee Bixby,Consumer
59,AB-151,Aaron Bergman,Consumer
60,AB-152,Aaron Bergman,Consumer
61,AB-1651,Alan Barnes,Consumer
62,AB-1652,Alan Barnes,Consumer
63,AB-1653,Alan Barnes,Consumer
64,AB-2551,Alejandro Ballentine,Home Office
65,AB-2552,Alejandro Ballentine,Home Office
66,AB-2553,Alejandro Ballentine,Home Office
67,AB-6001,Ann Blume,Corporate
68,AB-6002,Ann Blume,Corporate
69,AB-601,Adam Bellavance,Home Office
70,AB-602,Adam Bellavance,Home Office
71,AC-104201,Alyssa Crouse,Corporate
72,AC-104202,Alyssa Crouse,Corporate
73,AC-104203,Alyssa Crouse,Corporate
74,AC-104204,Alyssa Crouse,Corporate
75,AC-104501,Amy Cox,Consumer
76,AC-104502,Amy Cox,Consumer
77,AC-104503,Amy Cox,Consumer
